timestamp,type,providername,eventid,task,pid,tid,exe,ppid,targetpid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,stacktrace,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,channel,desiredaccess,returncode,targetprocessid,targetthreatid,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,processid,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,id,process,reason,threadtime,data,startstop,deltacpu,deltawall,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,accessmask,washardened,featureid,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,linksourcename,linktargetname,ttid,startqpc,processimagepath,taintreason,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt
"2025-09-02 16:09:54.7452254Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info ",1912,3012,"MsMpEng.exe",,,,,,,,,,,,,"1.435.533.0","1.435.533.0","1.1.25070.4",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:54.7457146Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFileInfo ",4,1496,"System",,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi.etl",,,,,,,,,,,,[],128,83886112,18446660011125395056,18446660011093567000,1496,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:54.7457262Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreateInfo ",4,1496,"System",,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi.etl",,,,,,,,,,,,[],,,,,,,18446708905086354336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0400607Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0401692Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0401978Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402059Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402111Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402212Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402264Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402315Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
