"providername","eventid","task","event_count","exe_count","exes"
"Microsoft-Antimalware-Engine","1","Behavior Monitoring BmEtw","1","1","svchost.exe"
"Microsoft-Antimalware-Engine","2","Behavior Monitoring BmEtw","8","1","svchost.exe"
"Microsoft-Antimalware-Engine","3","Message Info","6","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","4","Versions Info","1","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","5","Stream scan request Start","1","1","<not found>"
"Microsoft-Antimalware-Engine","6","Stream scan request Stop","1","1","<not found>"
"Microsoft-Antimalware-Engine","8","Behavior Monitoring BmEtw","18","5","ApplicationFrameHost.exe CalculatorApp.exe chrome.exe Notepad.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","11","Behavior Monitoring BmModuleLoad","89","2","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","12","Behavior Monitoring BmEtw","5","4","ApplicationFrameHost.exe CalculatorApp.exe explorer.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","15","Behavior Monitoring BmEtw","1","1","attack.exe"
"Microsoft-Antimalware-Engine","19","Behavior Monitoring BmEtw","25","5","ApplicationFrameHost.exe CalculatorApp.exe explorer.exe Notepad.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","20","Behavior Monitoring BmEtw","47","4","csrss.exe EDRi.exe explorer.exe lsass.exe"
"Microsoft-Antimalware-Engine","26","Behavior Monitoring BmProcessTerminate","2","2","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","29","Behavior Monitoring BmRemoteThreadCreate","1","1","attack.exe"
"Microsoft-Antimalware-Engine","30","UfsScanFileTaskStart","2","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","31","UfsScanFileTaskStop","2","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","35","Cache MOACAdd","2","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","36","Cache MOACLookup","9","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","38","Cache CacheLookup","3","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","39","Behavior Monitoring BmEtw","1","1","lsass.exe"
"Microsoft-Antimalware-Engine","43","ExpensiveOperationTaskExpensiveOperationBegin","4","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","48","Behavior Monitoring BmEtw","2","2","EDRi.exe explorer.exe"
"Microsoft-Antimalware-Engine","53","Behavior Monitoring BmOpenProcess","18","5","attack.exe explorer.exe Notepad.exe OpenConsole.exe svchost.exe"
"Microsoft-Antimalware-Engine","59","Message Info","120","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","61","Behavior Monitoring BmEtw","1","1","services.exe"
"Microsoft-Antimalware-Engine","63","Behavior Monitoring BmProcessTainting","2","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","67","ExpensiveOperationTaskExpensiveOperationEnd","4","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","70","Behavior Monitoring BmProcessCreate","2","2","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","73","Behavior Monitoring ProcessMonitorFlags","4","2","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","95","Behavior Monitoring BmFileOverwrite","1","1","MsMpEng.exe"
"Microsoft-Antimalware-Engine","104","Behavior Monitoring BmInternal","19","2","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","109","Behavior Monitoring BmProcessContextStart","2","2","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","111","Behavior Monitoring BmNotificationHandleStart","148","2","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","112","Behavior Monitoring BmNotificationHandleStop","148","2","attack.exe Notepad.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","2","Info","1","1","svchost.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","3","Info","8","1","svchost.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","5","Info","3173","25","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe copilot-language-server.exe csrss.exe ctfmon.exe dwm.exe EDRi.exe explorer.exe lsass.exe MsMpEng.exe Notepad.exe OpenConsole.exe RuntimeBroker.exe SearchIndexer.exe services.exe sihost.exe smartscreen.exe svchost.exe VBoxService.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Audit-API-Calls","6","Info","201","10","CalculatorApp.exe cmd.exe csrss.exe ctfmon.exe explorer.exe MsMpEng.exe services.exe svchost.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-File","10","NameCreateInfo","68","11","CalculatorApp.exe devenv.exe explorer.exe Notepad.exe OpenConsole.exe PerfWatson2.exe RuntimeBroker.exe svchost.exe System WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-File","30","CreateNewFileInfo","50","8","devenv.exe EDRi.exe Notepad.exe RuntimeBroker.exe svchost.exe System WerFault.exe WindowsTerminal.exe"
"Microsoft-Windows-Kernel-Network","12","KERNEL_NETWORK_TASK_TCPIPConnection attempted.","1","1","WerFault.exe"
