timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-12-15 14:19:34.3843760Z","myETW","1","1","2025-12-15 14:19:34.384363700Z","EDRi-Provider",4242,"EDRiTask"," 6704 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1765808374384363700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6114918Z","ETW","0","0","2025-12-15 14:19:35.6114918Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,1765808375611491800,140729454755840,140729454755840,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6115414Z","ETW","0","0","2025-12-15 14:19:35.6115414Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,1765808375611541400,140729795805184,140729795805184,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6115933Z","ETW","0","0","2025-12-15 14:19:35.6115933Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,1765808375611593300,140729611190272,140729611190272,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6116934Z","ETW","0","0","2025-12-15 14:19:35.6116934Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,1765808375611693400,140729677905920,140729677905920,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6117887Z","ETW","0","0","2025-12-15 14:19:35.6117887Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,1765808375611788700,140729787023360,140729787023360,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6118598Z","ETW","0","0","2025-12-15 14:19:35.6118598Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,1765808375611859800,140729253625856,140729253625856,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6119179Z","ETW","0","0","2025-12-15 14:19:35.6119179Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,1765808375611917900,140729453576192,140729453576192,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6119669Z","ETW","0","0","2025-12-15 14:19:35.6119669Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,1765808375611966900,140729453707264,140729453707264,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:19:35.6121041Z","ETW","0","0","2025-12-15 14:19:35.6121041Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 6704 EDRi.exe",6628,,," 6704 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,1765808375612104100,140729514393600,140729514393600,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
