timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,lastprotectionmask
"2025-12-15 14:39:17.1374989Z","myETW","1","1","2025-12-15 14:39:17.137489000Z","EDRi-Provider",4242,"EDRiTask"," 9196 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1765809557137489000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:17.8687672Z","ETW","1","0","2025-12-15 14:39:17.8687672Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3164 cyserver.exe",7732,,," 3164 cyserver.exe",,,,,,,,,,,,,1765809557868767200,206062,18446684154613661696,18446684154613633024,140729467564464,38,1060804165632,7732,1058718875648,1058718867456,140729467564464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:17.8688830Z","ETW","1","0","2025-12-15 14:39:17.8688830Z","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 3164 cyserver.exe",5592,,," 3164 cyserver.exe",,,,,,,,,,,,,1765809557868883000,,18446684154613661696,18446684154613633024,140729467564464,38,1060804288512,6076,1058718875648,1058718871552,140729467564464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.0875042Z","ETW","1","0","2025-12-15 14:39:18.0875042Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3100 svchost.exe",9548,,," 3100 svchost.exe",,,,,,,,,,,,,1765809558087504200,4333514,18446684154555228160,18446684154555199488,140729542268416,36,858002690048,9548,858010943488,858010910720,140729542268416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6065732Z","ETW","0","0","2025-12-15 14:39:18.6065732Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,1765809558606573200,,,,,,,,,,,140729454755840,140729454755840,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6066195Z","ETW","0","0","2025-12-15 14:39:18.6066195Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,1765809558606619500,,,,,,,,,,,140729795805184,140729795805184,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6066705Z","ETW","0","0","2025-12-15 14:39:18.6066705Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,1765809558606670600,,,,,,,,,,,140729611190272,140729611190272,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6067648Z","ETW","0","0","2025-12-15 14:39:18.6067648Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,1765809558606764800,,,,,,,,,,,140729677905920,140729677905920,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6068593Z","ETW","0","0","2025-12-15 14:39:18.6068593Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,1765809558606859300,,,,,,,,,,,140729787023360,140729787023360,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6069255Z","ETW","0","0","2025-12-15 14:39:18.6069255Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,1765809558606925500,,,,,,,,,,,140729206833152,140729206833152,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6069817Z","ETW","0","0","2025-12-15 14:39:18.6069817Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,1765809558606981700,,,,,,,,,,,140729453576192,140729453576192,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6070319Z","ETW","0","0","2025-12-15 14:39:18.6070319Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,1765809558607031900,,,,,,,,,,,140729453707264,140729453707264,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6088691Z","ETW","0","0","2025-12-15 14:39:18.6088691Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,1765809558608869100,,,,,,,,,,,140729514393600,140729514393600,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6089395Z","ETW","0","0","2025-12-15 14:39:18.6089395Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,1765809558608939500,,,,,,,,,,,140729452199936,140729452199936,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
