"providername","eventid","task","event_count","exe_count","exes"
"Microsoft-Antimalware-Engine","104","Behavior Monitoring BmInternal","0077","0012","attack.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe SearchIndexer.exe SearchProtocolHost.exe smartscreen.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","109","Behavior Monitoring BmProcessContextStart","0017","0012","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe SearchIndexer.exe SearchProtocolHost.exe smartscreen.exe svchost.exe System WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","11","Behavior Monitoring BmModuleLoad","0574","0009","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe SearchProtocolHost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","111","Behavior Monitoring BmNotificationHandleStart","0966","0015","attack.exe chrome.exe cmd.exe conhost.exe csrss.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe PerfWatson2.exe powershell.exe SearchIndexer.exe SearchProtocolHost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","112","Behavior Monitoring BmNotificationHandleStop","0966","0015","attack.exe chrome.exe cmd.exe conhost.exe csrss.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe PerfWatson2.exe powershell.exe SearchIndexer.exe SearchProtocolHost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","12","Behavior Monitoring BmEtw","0002","0002","explorer.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","15","Behavior Monitoring BmFileDelete","0006","0003","explorer.exe Notepad.exe PerfWatson2.exe"
"Microsoft-Antimalware-Engine","16","Behavior Monitoring BmFileRename","0005","0002","Notepad.exe PerfWatson2.exe"
"Microsoft-Antimalware-Engine","19","Behavior Monitoring BmEtw","0051","0003","explorer.exe Notepad.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","2","Behavior Monitoring BmEtw","0006","0001","svchost.exe"
"Microsoft-Antimalware-Engine","20","Behavior Monitoring BmEtw","0047","0004","csrss.exe EDRi.exe explorer.exe lsass.exe"
"Microsoft-Antimalware-Engine","26","Behavior Monitoring BmProcessTerminate","0007","0007","attack.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","3","Message Info","0019","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","30","UfsScanFileTaskStart","0001","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","31","UfsScanFileTaskStop","0001","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","35","Behavior Monitoring BmEtw","0002","0001","explorer.exe"
"Microsoft-Antimalware-Engine","35","Cache MOACAdd","0001","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","36","Cache MOACLookup","0287","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","38","Cache CacheLookup","0003","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","4","Versions Info","0001","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","43","ExpensiveOperationTaskExpensiveOperationBegin","0025","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","44","MetaStoreTaskMetaStoreAction","0338","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","48","Behavior Monitoring BmEtw","0002","0002","EDRi.exe explorer.exe"
