timestamp,type,providername,eventid,task,pid,tid,exe,ppid,targetpid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,targetprocessid,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,targetthreatid,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,id,process,reason,threadtime,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,accessmask,washardened,featureid,defaultbase,imagebase,imagesize,data,startstop,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,channel,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,featuretype,keypath,newvalue,oldvalue,usermode,valuename
"2025-09-03 13:35:02.3179523Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info ",1912,11040,"MsMpEng.exe",,,,,,,,,,,,,,"1.435.552.0","1.435.552.0","1.1.25070.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.3184346Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFileInfo ",4,14884,"System",,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi.etl",,,,,,,,,,,,128,83886112,18446660011125466816,18446660011082228632,14884,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.3184513Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreateInfo ",4,14884,"System",,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi.etl",,,,,,,,,,,,,,,,,,18446708904383422832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.3186317Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1912,11040,"MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,4096,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.3186404Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1912,11040,"MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,4096,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.3186793Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1912,11040,"MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,1052672,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.3188192Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1912,11040,"MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,4096,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.3188380Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1912,11040,"MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,4096,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.4359695Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",10596,11288,"devenv.exe",,,,10596,,,,,,,,,,,,,,,,,,,,,,,3028600,18446639081604886528,18446639081604861952,140736910320112,0,831466905600,11288,831604129792,831604121600,140736910320112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.7353342Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",4,72,"System",,,,3696,,,,,,,,,,,,,,,,,,,,,,,,18446639081604886528,18446639081604861952,140736917348896,0,890346070016,11168,890348503040,890348470272,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:02.7353862Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",4,72,"System",,,,3736,,,,,,,,,,,,,,,,,,,,,,,,18446639081663373312,18446639081663348736,140736917348896,0,901862203392,1832,901864488960,901864456192,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:03.2886013Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",4,72,"System",,,,3596,,,,,,,,,,,,,,,,,,,,,,,,18446639081663401984,18446639081663377408,140736917348896,0,639249907712,20900,639249285120,639249252352,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-03 13:35:03.3362044Z","Custom","EDRi",13337,"[<] Before decrypting attack exe",1816,,"EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
