timestamp,type,provider_name,event_id,task_name,process_id,thread_id,ppid,pid,targetpid,targettid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,desiredaccess,returncode,targetthreatid,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,id,process,reason,threadtime,data,startstop,deltacpu,deltawall,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,accessmask,washardened,featureid,defaultbase,imagebase,imagesize,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,connid,daddr,dport,saddr,seqnum,size,sport,channel,eventid,startqpc,processimagepath,taintreason,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt
"2025-09-04 20:48:31.1487723Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info "," 1912 MsMpEng.exe",20860,,,,,,,,,,,,,,,,"1.435.575.0","1.435.575.0","1.1.25070.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:32.2672647Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10596 devenv.exe",5480,,,"10596 devenv.exe",,,,,,,,,,,,,,,,4562280,18446639081641820160,18446639081641795584,140736917348896,0,831467708416,5480,831612518400,831612489728,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:32.2675847Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10596 devenv.exe",10872,,,"10596 devenv.exe",,,,,,,,,,,,,,,,9807040,18446639081608503296,18446639081608478720,140736917348896,0,831467364352,10872,831469649920,831469637632,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:32.5043052Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10008 dllhost.exe",11492,,,"10008 dllhost.exe",,,,,,,,,,,,,,,,242440,18446639081650814976,18446639081650790400,140736917348896,0,324124692480,11492,324126375936,324126343168,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:32.5043535Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 2020 svchost.exe",6880,,," 2020 svchost.exe",,,,,,,,,,,,,,,,153520,18446639081651216384,18446639081651191808,140736917348896,0,113964892160,6880,113966579712,113966546944,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:32.5043853Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1516 svchost.exe",10580,,," 1516 svchost.exe",,,,,,,,,,,,,,,,332120,18446639081651187712,18446639081651163136,140736917348896,0,535615500288,10580,535614586880,535614554112,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:32.9969712Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","  504 PerfWatson2.exe",17692,,,"  504 PerfWatson2.exe",,,,,,,,,,,,,,,,1462240,18446639081609080832,18446639081609056256,140736917348896,0,264450269184,17692,264522694656,264522678272,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:33.1873150Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","15528 MSBuild.exe",2884,,,"15528 MSBuild.exe",,,,,,,,,,,,,,,,829920,18446639081637285888,18446639081637261312,140736910320112,0,249789820928,2884,249837912064,249837895680,140736910320112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:33.2034989Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info "," 1912 MsMpEng.exe",3012,,,,,,,,,0,"Behavior:Win32/PossiblePrifou.C","0x39B31D40F3EE","07862b071506fa6403b840e947e3b06cbfdf5579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 20:48:33.2041616Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info "," 1912 MsMpEng.exe",3012,,,,,,,,,0,"Behavior:Win32/PossiblePrifou.C","0x39B31D40F3EE","07862b071506fa6403b840e947e3b06cbfdf5579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
