timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,accessmask,washardened,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,baseaddress,bytescopied,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,operationstatus,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,classification,eventtype,fileid,fileusn,info,scansource,engineid,first resource path,first resource type,flags,id,resource count,scan source,threadtime,type,startqpc,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,allocationtype,cycletime,process,reason,devicename,devicenamelength,drivername,drivernamelength,actionstatus,allsigseqs,allsigshas,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scantype,sha1,sha256,threatname,vpath
"2025-09-19 13:34:35.1480084Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 7992 EDRi.exe",3412,,,"    4 System",,,,,,,,,,,,18446741885170429952,18446741885170401280,18446735296879650000,0,0,5616,0,0,18446735296879650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:35.1484300Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info "," 1648 MsMpEng.exe",5680,,,,,,,,,,,,,,,,,,,,,,,,"1.437.47.0","1.437.47.0","1.1.25080.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:35.1488829Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFileInfo ","    4 System",5616,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,,,,,,128,83886112,18446714964366597712,18446714964391316232,5616,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:35.1488914Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreateInfo ","    4 System",5616,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,,,,,,,,,,,,18446612156472439216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:36.0424454Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 9228 procexp64.exe",3296,,,"    4 System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33554432,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:36.0473622Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess"," 1648 MsMpEng.exe",5872,," 9228 procexp64.exe"," 1472 rdpclip.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:36.0474926Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess"," 1648 MsMpEng.exe",2068,," 9228 procexp64.exe"," 4268 sihost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:36.0477130Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess"," 1648 MsMpEng.exe",5872,," 9228 procexp64.exe"," 2288 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:36.0478344Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess"," 1648 MsMpEng.exe",2068,," 9228 procexp64.exe"," 5928 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 13:34:36.0479293Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess"," 1648 MsMpEng.exe",5872,," 9228 procexp64.exe"," 1428 taskhostw.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
