timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,classification,eventtype,fileid,fileusn,info,scansource,desiredaccess,returncode,creationtime,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,baseaddress,bytescopied,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,operationstatus,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,featureid,accessmask,washardened,targetthreadcreatetime,targetthreadid,data,startstop,threadtime,deltacpu,deltawall,startqpc,id,process,reason,channel,eventid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,cycletime,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-10 13:49:02.756252000Z","2025-11-10 13:49:02.7562561Z","myETW","EDRi-Provider",4242,"EDRi-Event","  396 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1762782542756256100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:05.7830198Z","2025-11-10 13:49:05.7830198Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info ","    4 System",1908,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762782545783019800,128,83886112,18446690209801979376,18446690209727519496,1908,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:05.7830319Z","2025-11-10 13:49:05.7830319Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",1908,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762782545783032000,,,,,,,18446714997199603648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:08.1259931Z","2025-11-10 13:49:08.1259931Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",596,,,,,,"C:\Windows\System32\wuceffects.dll::$EA",,,,,,,,,,1762782548125993100,,,,,,,18446714997401303744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:12.5121598Z","2025-11-10 13:49:12.5121598Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",11652,,,,,,"C:\Users\admin\AppData\Local\Microsoft\input",,,,,,,,,,1762782552512159800,,,,,,,18446714997406739184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:12.5203362Z","2025-11-10 13:49:12.5203362Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",11652,,,,,,"C:\Windows\Globalization\ELS\SpellDictionaries\Fluency\en-GB",,,,,,,,,,1762782552520336200,,,,,,,18446714997287584112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:13.7025110Z","2025-11-10 13:49:13.7025110Z","ETW","Microsoft-Windows-Kernel-Network",12,"KERNEL_NETWORK_TASK_TCPIP Connection attempted. ","    4 System",276,,"12068 MpDefenderCoreService.exe",,,,,,,,,,,,,,1762782553702511000,,,,,,,,0,1156531469,47873,1440,262144,8,1,275453356,0,0,8,19454,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:13.776825200Z","2025-11-10 13:49:13.7768289Z","myETW","EDRi-Provider",4242,"EDRi-Event","  396 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\admin\Desktop\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,1762782553776828900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:13.825609400Z","2025-11-10 13:49:13.8256118Z","myETW","EDRi-Provider",4242,"EDRi-Event","  396 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,1762782553825611800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:49:13.8500470Z","2025-11-10 13:49:13.8500470Z","ETW","Microsoft-Antimalware-Engine",3,"Message  Info "," 3320 MsMpEng.exe",4804,,,,,"subtype=Lowfi, sigseq=0x00000555D4FB9C24, sigsha=68b7f163c37677d744a8a0d9772ac4a9d45a20b1, signame=#Lowfi:Lua:WrittenToDownloadFolderByOtherParentProcess, cached=false, source=5, resourceid=0x107215ef, resource='C:\Users\Public\Downloads\attack-148.exe'",,,,,,,,,,,1762782553850047000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
