timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,engineid,first resource path,first resource type,flags,id,resource count,scan source,threadtime,type,allocationtype,startqpc,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,accessmask,washardened,devicename,devicenamelength,drivername,drivernamelength,actionstatus,allsigseqs,allsigshas,classification,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scansource,scantype,sha1,sha256,threatname,vpath,imagepath,codeintegrityoption,desiredaccess,linksourcename,linktargetname,returncode,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,detectionname,cloudresponse,records,vault,eventtype,fileid,fileusn,info,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,featureid,data,startstop,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,process,reason,channel,eventid,processimagepath,taintreason,scanreason,guid,signatureid,scanresult,level,stopreason,triggersigseq
"2025-11-03 08:16:01.4287428Z","2025-11-03 08:16:01.4287428Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619275022336,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"R-X",134055732271607885,5824,49,8,55,4222124650672877,"RW-",4096,134055732271607885,49,8,55,4222124650672877,1762157761428742800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:01.4287507Z","2025-11-03 08:16:01.4287507Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619275022336,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"RW-",134055732271607885,5824,49,8,55,4222124650672877,"R-X",4096,134055732271607885,49,8,55,4222124650672877,1762157761428750700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:01.4837084Z","2025-11-03 08:16:01.4837084Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 4420 explorer.exe",6560,,," 4420 explorer.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157761483708400,4304218,18446603390466461696,18446603390466433024,140715588324672,0,11091968,6560,221052928,220995584,140715588324672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:01.857875500Z","2025-11-03 08:16:01.8578760Z","myETW","EDRi-Provider",4242,"EDRi-Event","  220 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157761857876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:02.0767125Z","2025-11-03 08:16:02.0767125Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 2320 svchost.exe",7696,,," 2320 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157762076712500,47662580,18446603390461612032,18446603390461583360,140716118594416,192,404009680896,7696,404014759936,404014727168,140716118594416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:02.0773939Z","2025-11-03 08:16:02.0773939Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 2184 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157762077393900,,18446603390461612032,18446603390461583360,140716128325904,0,52958928896,572,52956823552,52956790784,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:02.0778268Z","2025-11-03 08:16:02.0778268Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 2184 svchost.exe",572,,," 2184 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157762077826800,,18446603390466461696,18446603390466433024,140716128325904,17,52958937088,1724,52962525184,52962492416,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:02.4389465Z","2025-11-03 08:16:02.4389465Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 6088 RuntimeBroker.exe",6300,,," 6088 RuntimeBroker.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157762438946500,327550,18446603390459281408,18446603390459252736,140716128325904,0,1048705839104,6300,1048707596288,1048707547136,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:03.0610185Z","2025-11-03 08:16:03.0610185Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 3000 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157763061018500,,18446603390471049216,18446603390471020544,140716128325904,0,525717393408,5056,525715898368,525715865600,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:03.6749522Z","2025-11-03 08:16:03.6749522Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 5560 svchost.exe",5604,,," 5560 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157763674952300,,18446603390471180288,18446603390471151616,140716128325904,27,450964234240,7480,448824606720,448824573952,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
