timestamp,type,provider_name,event_id,task,PID,TID,PPID,Message,Command Line,FilePath,VName,Sig Seq,Sig Sha,AS Version,AV Version,Engine Version,stack_trace,AttrId,AttrSeq,AttrSubset,IsMultiProcDetection,IsMultiProcMatch,MatchedThreatsNumber,action,key,result,vault,Result,SigSeq,SigSha,OldFileName,ImagePath,AccessMask,WasHardened,CreationTime,EngineId,Source,filepath,flags,flags2high,flags2low,oldFlags,oldFlags2high,oldFlags2low,Id,Path,Process,Reason,ThreadTime,BiggestOffsetWritten,FirstOffsetWritten,LastOffsetWritten,NumberOfWrites,ProcessId,SmallestOffsetWritten,TotalSizeOfAppends,TotalSizeOfWrites,FeatureId,FirstParam,SecondParam,Data,StartStop,DeltaCPU,DeltaWall,Classification,EventType,FileID,FileUSN,Info,ScanSource,CacheName,BasePath,CommandLine,Flags,IntegrityLevel,ParentPID,ProcessContextId,ImageName,TTID,StartQPC,ProcessImagePath,ReasonImagePath,TaintReason,Count,TerminationTime,Channel,EventId,
"2025-08-25 20:07:03.9518195Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info ",1912,10840,,,,,,,,"1.435.381.0","1.435.381.0","1.1.25070.4",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:03.9523468Z","ETW","Microsoft-Antimalware-Engine",71,"Behavior Monitoring BmFileCreateEx",4,10840,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:03.9524064Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",4,10840,,,,,,,,,,,[],16384,1042327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:03.9529646Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",4,10840,,,,,,,,,,,[],16384,1042327,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:03.9530626Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,10840,,,,,,,,,,,[],,,,,,,"query",15385597228366815724,2147943568,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5751017Z","ETW","Microsoft-Antimalware-Engine",71,"Behavior Monitoring BmFileCreateEx",10580,10840,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5885220Z","ETW","Microsoft-Antimalware-Engine",72,"Behavior Monitoring BmFileChangeEx",10580,10840,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5885757Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",10580,10840,,,,,,,,,,,[],16384,1042329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5889639Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,10840,,,,,"Behavior:Win32/PossiblePrifou.C",,,,,,[],,,,,,,,,,,0,"0x39B31D40F3EE","07862b071506fa6403b840e947e3b06cbfdf5579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5890436Z","ETW","Microsoft-Antimalware-Engine",16,"Behavior Monitoring BmFileRename",10580,8272,,,,,,,,,,,[],,,,,,,,,,,,,,"C:\Users\hacker\AppData\Local\Microsoft\VSApplicationInsights\vstelf3e86b4023cc43f0be495508d51f588a\20250825200704_21a01fe13d0d40c89fa2cef409661a86.tmp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5892487Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",10580,10840,,,,,,,,,,,[],16384,1042329,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5893410Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,10840,,,,,,,,,,,[],,,,,,,"query",5342851139210736708,2147943568,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5893731Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",10580,10840,,,,,,,,,,,[],16386,1042330,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5894088Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,10840,,,,,"Behavior:Win32/ASRUsbCopiedRenamed",,,,,,[],,,,,,,,,,,0,"0x19B3CC206E0B","7cd6872bd369cad262956a7857d3829369d711f7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5894679Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",10580,10840,,,,,,,,,,,[],16386,1042330,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-25 20:07:04.5894756Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,10840,,,,,,,,,,,[],,,,,,,"query",5342851139210736708,2147943568,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
