"providername","eventid","task","event_count","exe_count","exes"
"Microsoft-Antimalware-Engine","1","Behavior Monitoring BmEtw","0001","0001","svchost.exe"
"Microsoft-Antimalware-Engine","104","Behavior Monitoring BmInternal","0110","0017","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe RuntimeBroker.exe SearchIndexer.exe SearchProtocolHost.exe ServiceHub.IdentityHost.exe svchost.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","109","Behavior Monitoring BmProcessContextStart","0020","0015","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe RuntimeBroker.exe SearchIndexer.exe SearchProtocolHost.exe svchost.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","11","Behavior Monitoring BmModuleLoad","0864","0014","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe RuntimeBroker.exe SearchProtocolHost.exe sihost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","110","Behavior Monitoring BmProcessContextStop","0002","0001","WerFault.exe"
"Microsoft-Antimalware-Engine","111","Behavior Monitoring BmNotificationHandleStart","1354","0022","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe chrome.exe cmd.exe conhost.exe csrss.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe PerfWatson2.exe powershell.exe RuntimeBroker.exe SearchIndexer.exe SearchProtocolHost.exe ServiceHub.IdentityHost.exe services.exe sihost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","112","Behavior Monitoring BmNotificationHandleStop","1354","0022","ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe chrome.exe cmd.exe conhost.exe csrss.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe PerfWatson2.exe powershell.exe RuntimeBroker.exe SearchIndexer.exe SearchProtocolHost.exe ServiceHub.IdentityHost.exe services.exe sihost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","12","Behavior Monitoring BmEtw","0005","0004","ApplicationFrameHost.exe CalculatorApp.exe explorer.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","15","Behavior Monitoring BmEtw","0001","0001","attack.exe"
"Microsoft-Antimalware-Engine","15","Behavior Monitoring BmFileDelete","0015","0003","PerfWatson2.exe RuntimeBroker.exe svchost.exe"
"Microsoft-Antimalware-Engine","16","Behavior Monitoring BmFileRename","0006","0005","Notepad.exe PerfWatson2.exe RuntimeBroker.exe ServiceHub.IdentityHost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","19","Behavior Monitoring BmEtw","0057","0005","ApplicationFrameHost.exe CalculatorApp.exe explorer.exe Notepad.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","2","Behavior Monitoring BmEtw","0008","0001","svchost.exe"
"Microsoft-Antimalware-Engine","20","Behavior Monitoring BmEtw","0060","0004","csrss.exe EDRi.exe explorer.exe lsass.exe"
"Microsoft-Antimalware-Engine","26","Behavior Monitoring BmProcessTerminate","0010","0009","attack.exe calc.exe cmd.exe conhost.exe explorer.exe Notepad.exe OpenConsole.exe WerFault.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","29","Behavior Monitoring BmRemoteThreadCreate","0001","0001","attack.exe"
"Microsoft-Antimalware-Engine","3","Message Info","0030","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","30","UfsScanFileTaskStart","0003","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","31","UfsScanFileTaskStop","0003","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","35","Cache MOACAdd","0003","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","36","Cache MOACLookup","0418","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","38","Cache CacheLookup","0006","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","39","Behavior Monitoring BmEtw","0001","0001","lsass.exe"
"Microsoft-Antimalware-Engine","4","Versions Info","0001","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","43","ExpensiveOperationTaskExpensiveOperationBegin","0034","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","44","MetaStoreTaskMetaStoreAction","0373","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","48","Behavior Monitoring BmEtw","0002","0002","EDRi.exe explorer.exe"
"Microsoft-Antimalware-Engine","5","Stream scan request Start","0074","0014","<not found> ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe RuntimeBroker.exe sihost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","53","Behavior Monitoring BmOpenProcess","0091","0014","ApplicationFrameHost.exe attack.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe OpenConsole.exe PerfWatson2.exe RuntimeBroker.exe SearchIndexer.exe services.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","59","Message Info","0161","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","6","Stream scan request Stop","0074","0014","<not found> ApplicationFrameHost.exe attack.exe calc.exe CalculatorApp.exe cmd.exe conhost.exe EDRi.exe explorer.exe Notepad.exe RuntimeBroker.exe sihost.exe svchost.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","60","Behavior Monitoring BmEtw","0001","0001","services.exe"
"Microsoft-Antimalware-Engine","61","Behavior Monitoring BmEtw","0001","0001","services.exe"
"Microsoft-Antimalware-Engine","62","Behavior Monitoring BmScavengerTask","0002","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","63","Behavior Monitoring BmProcessTainting","0002","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","67","ExpensiveOperationTaskExpensiveOperationEnd","0034","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","7","Skipped file Info","0064","0001","MsMpEng.exe"
