"providername","eventid","task","event_count","exe_count","exes"
"Microsoft-Antimalware-Engine","1","Behavior Monitoring BmEtw","0001","0001","svchost.exe"
"Microsoft-Antimalware-Engine","104","Behavior Monitoring BmInternal","0019","0002","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","109","Behavior Monitoring BmProcessContextStart","0002","0002","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","11","Behavior Monitoring BmModuleLoad","0090","0002","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","111","Behavior Monitoring BmNotificationHandleStart","0151","0002","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","112","Behavior Monitoring BmNotificationHandleStop","0151","0002","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","12","Behavior Monitoring BmEtw","0005","0004","ApplicationFrameHost.exe CalculatorApp.exe explorer.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","15","Behavior Monitoring BmEtw","0001","0001","attack.exe"
"Microsoft-Antimalware-Engine","19","Behavior Monitoring BmEtw","0057","0005","ApplicationFrameHost.exe CalculatorApp.exe explorer.exe Notepad.exe WindowsTerminal.exe"
"Microsoft-Antimalware-Engine","2","Behavior Monitoring BmEtw","0008","0001","svchost.exe"
"Microsoft-Antimalware-Engine","20","Behavior Monitoring BmEtw","0060","0004","csrss.exe EDRi.exe explorer.exe lsass.exe"
"Microsoft-Antimalware-Engine","26","Behavior Monitoring BmProcessTerminate","0002","0002","attack.exe Notepad.exe"
"Microsoft-Antimalware-Engine","29","Behavior Monitoring BmRemoteThreadCreate","0001","0001","attack.exe"
"Microsoft-Antimalware-Engine","3","Message Info","0009","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","30","UfsScanFileTaskStart","0002","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","31","UfsScanFileTaskStop","0002","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","35","Cache MOACAdd","0002","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","36","Cache MOACLookup","0009","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","38","Cache CacheLookup","0003","0001","MsMpEng.exe"
"Microsoft-Antimalware-Engine","39","Behavior Monitoring BmEtw","0001","0001","lsass.exe"
"Microsoft-Antimalware-Engine","4","Versions Info","0001","0001","MsMpEng.exe"
