timestamp,type,provider_name,event_id,task_name,process_id,thread_id,ppid,pid,targetpid,targettid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,desiredaccess,returncode,data,startstop,threadtime,deltacpu,deltawall,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,id,process,reason,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,accessmask,washardened,featureid,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,startqpc,processimagepath,taintreason,cycletime,channel,eventid,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,targetprocesscreationtime,targetprocessstartkey
"2025-09-05 14:13:40.5701811Z","ETW","Microsoft-Antimalware-Engine",4,"Versions "," 1912 MsMpEng.exe",3012,,,,,,,,,,,,,,,,"1.435.594.0","1.435.594.0","1.1.25070.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:41.8877282Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",3012,,,,,,,,,0,"Behavior:Win32/ASRUsbCopiedRenamed","0x19B3CC206E0B","7cd6872bd369cad262956a7857d3829369d711f7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:43.8167793Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",3012,,,,,,,,,0,"Behavior:Win32/PossiblePrifou.C","0x39B31D40F3EE","07862b071506fa6403b840e947e3b06cbfdf5579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:43.8175976Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",8348,,,,,,,,,0,"Behavior:Win32/ASRUsbCopiedRenamed","0x19B3CC206E0B","7cd6872bd369cad262956a7857d3829369d711f7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:43.8177516Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",8348,,,,,,,,,0,"Behavior:Win32/ASRUsbCopiedRenamed","0x19B3CC206E0B","7cd6872bd369cad262956a7857d3829369d711f7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:46.5756624Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER"," 2312 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:46.8276878Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER"," 2312 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.0819732Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER"," 2312 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3084121Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,""," 2364 VBoxService.exe",2504,,,"12592 smartscreen.exe",,,,,,,,,,,,,,,,1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3084178Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,""," 2364 VBoxService.exe",2504,,,"12592 smartscreen.exe",,,,,,,,,,,,,,,,1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3084227Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,""," 2364 VBoxService.exe",2504,,,"12592 smartscreen.exe",,,,,,,,,,,,,,,,1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3425456Z","Custom","EDRi-Provider",4242,"[<] Before decrypting attack exe"," 2312 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3440523Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3441100Z","Custom","EDRi-Provider",4242,"[>]  After decrypting attack exe"," 2312 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3581573Z","ETW","Microsoft-Antimalware-Engine",43,"ExpensiveOperationTask"," 1912 MsMpEng.exe",2196,,,,,"LowFi",,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,0,true,765937500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3581586Z","ETW","Microsoft-Antimalware-Engine",67,"ExpensiveOperationTask"," 1912 MsMpEng.exe",2196,,,,,"LowFi",,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,0,false,765937500,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3727398Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile"," 1912 MsMpEng.exe",2196,,,,,,,"C:\ProgramData\Microsoft\Windows Defender\Scans\History\Store\FB997EABB6D335EF3D8D9DFE8CEB99C6",,,,,,,,,,,,,,,,,,,0,33685600,18446660011222034368,18446660011070013688,2196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3727552Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate"," 1912 MsMpEng.exe",2196,,,,,,,"C:\ProgramData\Microsoft\Windows Defender\Scans\History\Store\FB997EABB6D335EF3D8D9DFE8CEB99C6",,,,,,,,,,,,,,,,,,,,,,,,,18446708904712794480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:47.3733871Z","ETW","Microsoft-Antimalware-Engine",95,"Behavior Monitoring "," 1912 MsMpEng.exe",8348,,," 2312 EDRi.exe",,,,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,,,,,,,,,,,,,33791,134015552115476988,0,33791,2,0,33792,33792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:48.3501058Z","Custom","EDRi-Provider",4242,"[<] Before executing attack exe"," 2312 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.3650294Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.3715320Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",8348,,,,,,,,,0,"Behavior:Win32/ProcfromOfficeWmi.A","0x25B3CC65E091","8fa40716e9a7e71d26950ac358df39fd6ecba4f0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.3729917Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.3733145Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",8348,,,,,,,,,0,"!#BMLowfiTrigger.A","0xDBB39B890BFC","4dbf7bd615cfae8829011e03de200a1bc0bab7d3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.3745061Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",19784,,,,,,,,,0,"!#BM:ParentToInteractiveRelay.A","0x41B393E77B73","89696bd1a3201a3cc488e4e1f5734171b62aa66e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.3940239Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.3993749Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,""," 1912 MsMpEng.exe",2196,,," 1912 MsMpEng.exe",2196,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.4001163Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",3012,,,,,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.4010122Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",3012,,,,,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.4113621Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",19784,,,,,,,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.4139986Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",19784,,,,,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.4144409Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",19784,,,,,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.4150413Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",19784,,,,,,,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:13:49.4152790Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",19784,,,,,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
