timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,baseaddress,bytescopied,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,operationstatus,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,allocationtype,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,fullregionsize,lastprotectionmask,targetaddress,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-18 12:59:40.9284193Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","13288 MpDefenderCoreService.exe",15292,,,"13288 MpDefenderCoreService.exe",,,,,,,,,,,,59281140,18446712763249786880,18446712763249762304,140726305414320,0,705103847424,15292,705101365248,705101299712,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:49.8012799Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.0576484Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.3115046Z","Custom","EDRi-Provider",4242,"[<] Before decrypting attack exe","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.3160202Z","Custom","EDRi-Provider",4242,"[>]  After decrypting attack exe","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.3288715Z","Custom","EDRi-Provider",4242,"[<] Before executing attack exe","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4673157Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart ","15336 EDRi.exe",304,,,"13016 attack.exe",,,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,,,,,,134026739924672399,0,0,"0x","","",15336,11133,11135,2,1,0,1,1756716975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4708771Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","15336 EDRi.exe",304,,,"13016 attack.exe",,,,,,,,,,,,,18446712763281702912,18446712763281678336,140697621840496,0,741066448896,8096,741065424896,741065420800,140697621840496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4897799Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1756716975,140697621823488,140697621823488,53248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4898155Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,,,,,,,,,,,,2572841,,,,,,,,,,,244743817,140726304899072,140726304899072,2527232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4903497Z","Custom","EDRi-Provider",4242,"[>]  After executing attack exe","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4926750Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",64,,,"    4 System",,,,,,,,,,,,,18446712763282046976,18446712763282022400,18446735309779519472,0,0,1704,0,0,18446735309779519472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4927212Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",64,,,"    4 System",,,,,,,,,,,,,18446712763282132992,18446712763282108416,18446735309779519472,0,0,11520,0,0,18446735309779519472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4928454Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",64,,,"    4 System",,,,,,,,,,,,,18446712763280809984,18446712763280785408,18446735309779519472,0,0,9072,0,0,18446735309779519472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4930265Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",64,,,"    4 System",,,,,,,,,,,,,18446712763282563072,18446712763282538496,18446735309779519472,0,0,16144,0,0,18446735309779519472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4932247Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",64,,,"    4 System",,,,,,,,,,,,,18446712763282018304,18446712763281993728,18446735309779519472,0,0,14368,0,0,18446735309779519472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4932569Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",64,,,"    4 System",,,,,,,,,,,,,18446712763282104320,18446712763282079744,18446735309779519472,0,0,5048,0,0,18446735309779519472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4947953Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\kernel32.dll",,,,,,,,,,,,,,,,,,,,,882745,,,,,,,,,,,160271359,140726276718592,140726276718592,823296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.4949020Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\KernelBase.dll",,,,,,,,,,,,,,,,,,,,,4181903,,,,,,,,,,,177944830,140726256861184,140726256861184,4141056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5587495Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\advapi32.dll",,,,,,,,,,,,,,,,,,,,,771919,,,,,,,,,,,2638054253,140726299918336,140726299918336,737280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5589937Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\msvcrt.dll",,,,,,,,,,,,,,,,,,,,,732727,,,,,,,,,,,159756539,140726286876672,140726286876672,692224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5591581Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","13016 attack.exe",8096,,,"13016 attack.exe",,,,,,,,,,,,,18446712763283079168,18446712763283054592,140726305414320,0,741066457088,16316,741069553664,741069549568,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5593255Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\sechost.dll",,,,,,,,,,,,,,,,,,,,,700521,,,,,,,,,,,2166290279,140726295461888,140726295461888,679936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5595339Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\rpcrt4.dll",,,,,,,,,,,,,,,,,,,,,1223202,,,,,,,,,,,2270715780,140726298738688,140726298738688,1146880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5599199Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\ucrtbase.dll",,,,,,,,,,,,,,,,,,,,,1375546,,,,,,,,,,,3578273335,140726261645312,140726261645312,1355776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5599640Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","13016 attack.exe",16316,,,"13016 attack.exe",,,,,,,,,,,,,18446712763280576512,18446712763280551936,140726305414320,0,741066465280,12432,741070602240,741070598144,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5603669Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","13016 attack.exe",12432,,,"13016 attack.exe",,,,,,,,,,,,,18446712763283050496,18446712763283025920,140726305414320,0,741066473472,6564,741071650816,741071646720,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5624981Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",12432,,,"13016 attack.exe",,,"C:\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,,,146072,,,,,,,,,,,254123393,140724722860032,140724722860032,122880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5627132Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",8096,,,"13016 attack.exe",,,"C:\Windows\System32\msvcp140.dll",,,,,,,,,,,,,,,,,,,,,570439,,,,,,,,,,,1564323704,140724722270208,140724722270208,561152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5636776Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",12432,,,"13016 attack.exe",,,"C:\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,,,,,,,,,,57827,,,,,,,,,,,240324076,140725167915008,140725167915008,49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5659458Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","13016 attack.exe",16316,,,"13016 attack.exe",,,"C:\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,,,,,,,,,,57827,,,,,,,,,,,240324076,2721325449216,2721325449216,49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5662962Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo ","13016 attack.exe",16316,,,"13016 attack.exe",,,"C:\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,,,,,,,,,,57827,,,,,,,,,,,240324076,2721325449216,2721325449216,49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.5710832Z","Custom","Injector-Attack",1337,"[+] Injector started with PID 13016","13016 attack.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.9823191Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","12192 MsMpEng.exe",13372,,,"12192 MsMpEng.exe",,,,,,,,,,,,,18446712763353915392,18446712763353890816,140726305414320,246,1020388093952,12204,1020388704256,1020388638720,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.9823864Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","12192 MsMpEng.exe",13372,,,"12192 MsMpEng.exe",,,,,,,,,,,,,18446712763282907136,18446712763282882560,140722891621520,246,1020388102144,3528,1020391849984,1020391784448,140722891621520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.9825651Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","12192 MsMpEng.exe",12204,,,"12192 MsMpEng.exe",,,,,,,,,,,,,18446712763281846272,18446712763281821696,140726305414320,0,1020388110336,2604,1020394471424,1020394405888,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:53.0077438Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","12192 MsMpEng.exe",3528,,,"12192 MsMpEng.exe",,,,,,,,,,,,424460,18446712763282907136,18446712763282882560,140722891621520,246,1020388102144,3528,1020391849984,1020391784448,140722891621520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3403276Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3405654Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3415586Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3418012Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3420212Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3422522Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3424621Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3426667Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3428749Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3431574Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3434612Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3437567Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3440730Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3443629Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",12,"KERNEL_THREATINT_TASK_WRITEVM","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800258863745,1,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,0,0,0,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3503120Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",16,"KERNEL_THREATINT_TASK_SUSPENDRESUME_THREAD","15336 EDRi.exe",304,,,"15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134026739747495109,15336,49,2,2,4785074604092285,134026739923330911,304,0,134026739747495109,49,2,2,4785074604092285,,,,,,,,134026739923502032,5184,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3753821Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM","12192 MsMpEng.exe",7000,,,"12192 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592269205504,,134026715017424985,12192,49,7,55,4785074604091688,134026715095222242,7000,,134026715017424985,49,7,55,4785074604091688,,,,,,,,,,12288,134026715017424985,12192,49,7,55,4785074604091688,"RWX",315392,,,,,,,,,,,,,,,
