timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,desiredaccess,returncode,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-10 13:56:35.262346200Z","2025-11-10 13:56:35.2623491Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7716 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1762782995262349100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.3227701Z","2025-11-10 13:56:39.3227701Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info ","    4 System",8172,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762782999322770100,128,83886112,18446690209823364352,18446690209688709896,8172,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.3227832Z","2025-11-10 13:56:39.3227832Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8172,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762782999322783200,,,,,,,18446714997214036336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6534401Z","2025-11-10 13:56:39.6534401Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",3944,,,,,,"C:\Windows\System32\MdmCommon.dll::$EA",,,,,,,,,,1762782999653440100,,,,,,,18446714997437283680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.9322767Z","2025-11-10 13:56:39.9322767Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",3944,,,,,,"C:\Windows\System32\wlidprov.dll::$EA",,,,,,,,,,1762782999932276700,,,,,,,18446714997529177440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.291885200Z","2025-11-10 13:56:46.2918885Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7716 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\admin\Desktop\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,1762783006291888500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.298926800Z","2025-11-10 13:56:46.2989293Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7716 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,1762783006298929300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3714914Z","2025-11-10 13:56:46.3714914Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62",,,,,,,,,,1762783006371491400,128,35668001,18446690209870884464,18446690209845236648,12276,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3715026Z","2025-11-10 13:56:46.3715026Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62",,,,,,,,,,1762783006371502600,,,,,,,18446714997213016432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3738366Z","2025-11-10 13:56:46.3738366Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62\Logs",,,,,,,,,,1762783006373836600,128,35668001,18446690209870884464,18446690209845236648,12276,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3738484Z","2025-11-10 13:56:46.3738484Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62\Logs",,,,,,,,,,1762783006373848400,,,,,,,18446714997473552944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3739002Z","2025-11-10 13:56:46.3739002Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12260,,,,,,"C:\ProgramData\Cyvera\Everyone\Temp\640f115e-557b-4801-bb96-7bfe40455d62.xml",,,,,,,,,,1762783006373900200,128,84017248,18446690209653203936,18446690209680753576,12260,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3739274Z","2025-11-10 13:56:46.3739274Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12260,,,,,,"C:\ProgramData\Cyvera\Everyone\Temp\640f115e-557b-4801-bb96-7bfe40455d62.xml",,,,,,,,,,1762783006373927400,,,,,,,18446714997402272736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3743034Z","2025-11-10 13:56:46.3743034Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62\Logs\adaptive_policy.1.log.gz",,,,,,,,,,1762783006374303400,8224,83886148,18446690209870944864,18446690209845236648,12276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3743131Z","2025-11-10 13:56:46.3743131Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62\Logs\adaptive_policy.1.log.gz",,,,,,,,,,1762783006374313100,,,,,,,18446714997271003504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3751468Z","2025-11-10 13:56:46.3751468Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62\Logs\adaptive_policy.2.log.gz",,,,,,,,,,1762783006375146800,8224,83886148,18446690209870946464,18446690209845236648,12276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3751559Z","2025-11-10 13:56:46.3751559Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62\Logs\adaptive_policy.2.log.gz",,,,,,,,,,1762783006375155900,,,,,,,18446714997520312256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:46.3766911Z","2025-11-10 13:56:46.3766911Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12276,,,,,,"C:\ProgramData\Cyvera\Prevention\640f115e-557b-4801-bb96-7bfe40455d62\Logs\adaptive_policy.3.log.gz",,,,,,,,,,1762783006376691100,8224,83886148,18446690209870951264,18446690209680753576,12276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
