timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,viewsize,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,desiredaccess,returncode,operationstatus,targetthreadcreatetime,targetthreadid,cycletime,bytescopied,filekey,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,linksourcename,linktargetname,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess
"2025-11-10 14:18:25.2756001Z","2025-11-10 14:18:25.2756001Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",23,"KERNEL_THREATINT_TASK_MAPVIEW "," 6812 SearchProtocolHost.exe",664,,," 6812 SearchProtocolHost.exe",,,,,,,,,,,,,0,2005116780544,134050236724864196,4,114,28,30,5066549580791809,134072579052269149,664,"R-X",134072579052269103,0,0,0,5066549580817726,1762784305275600100,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4307891Z","2025-11-10 14:18:25.4307891Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6808 svchost.exe",8532,,," 6808 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305430789100,,18446606103144103936,18446606103144075264,140737324634384,181,480425320448,5076,480429211648,480429178880,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4341244Z","2025-11-10 14:18:25.4341244Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,"C:\Windows\System32\imm32.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305434124400,,,,,,,,,,,140737309310976,140737309310976,238320,192512,770155462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4351377Z","2025-11-10 14:18:25.4351377Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,"C:\Windows\System32\kernel.appcore.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305435137700,,,,,,,,,,,140737244561408,140737244561408,122143,73728,1990571354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4355462Z","2025-11-10 14:18:25.4355462Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,"C:\Windows\System32\bcryptprimitives.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305435546200,,,,,,,,,,,140737282572288,140737282572288,531569,532480,3309379821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4364405Z","2025-11-10 14:18:25.4364405Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",23,"KERNEL_THREATINT_TASK_MAPVIEW "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,,,,,,,,,,,0,2546748686336,134050236724864196,4,114,28,30,5066549580791809,134072579053939207,1960,"R-X",134072579053939175,0,0,0,5066549580817727,1762784305436440500,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4420159Z","2025-11-10 14:18:25.4420159Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,"C:\Windows\System32\clbcatq.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305442015900,,,,,,,,,,,140737306230784,140737306230784,736478,692224,97696835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4441176Z","2025-11-10 14:18:25.4441176Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305444117600,,18446606103144202240,18446606103144173568,140737287943264,0,436453801984,8244,436456128512,436456095744,140737287943264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4474048Z","2025-11-10 14:18:25.4474048Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 4612 SearchFilterHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305447404800,,18446606103144136704,18446606103144108032,140737324634384,0,436453810176,4932,436456652800,436456620032,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4491420Z","2025-11-10 14:18:25.4491420Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 4612 SearchFilterHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305449142000,,18446606103144169472,18446606103144140800,140737324634384,0,436453818368,11964,436457177088,436457144320,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4503046Z","2025-11-10 14:18:25.4503046Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,"C:\Windows\System32\mssprxy.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305450304600,,,,,,,,,,,140736994934784,140736994934784,156937,163840,68771275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
