timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,lastprotectionmask,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,bytescopied,operationstatus,viewsize,targetthreadcreatetime,targetthreadid
"2025-11-10 14:20:32.6979839Z","2025-11-10 14:20:32.6979839Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 5760 EDRi.exe",11128,,,"    4 System",,,,,,,,,,,,,18446606103152668672,18446606103152640000,18446735279441831120,0,0,5912,1762784432697983900,0,0,18446735279441831120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7033658Z","2025-11-10 14:20:32.7033658Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1762784432703365800,,,,140737035698176,140737035698176,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7034254Z","2025-11-10 14:20:32.7034254Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1762784432703425400,,,,140737286897664,140737286897664,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7036641Z","2025-11-10 14:20:32.7036641Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,1762784432703664100,,,,140737286504448,140737286504448,402188,372736,2061718160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7037225Z","2025-11-10 14:20:32.7037225Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1762784432703722500,,,,140737141669888,140737141669888,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7038235Z","2025-11-10 14:20:32.7038235Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1762784432703823500,,,,140737202880512,140737202880512,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7039400Z","2025-11-10 14:20:32.7039400Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1762784432703940000,,,,140737304985600,140737304985600,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7040168Z","2025-11-10 14:20:32.7040168Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1762784432704016800,,,,140736537427968,140736537427968,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7040848Z","2025-11-10 14:20:32.7040848Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1762784432704084800,,,,140736997687296,140736997687296,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7041442Z","2025-11-10 14:20:32.7041442Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1762784432704144200,,,,140737010335744,140737010335744,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
