timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,allocationtype,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,accessmask,washardened,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,engineid,first resource path,first resource type,flags,id,resource count,scan source,threadtime,type,devicename,devicenamelength,drivername,drivernamelength,startqpc,actionstatus,allsigseqs,allsigshas,classification,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scansource,scantype,sha1,sha256,threatname,vpath,codeintegrityoption,desiredaccess,linksourcename,linktargetname,returncode,imagepath,foldername,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,eventtype,fileid,fileusn,info,scanreason,scanresult,level,stopreason,triggersigseq
"2025-11-03 08:19:39.6789758Z","2025-11-03 08:19:39.6789758Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619296190464,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"R-X",134055732271607885,5824,49,8,55,4222124650672877,"RW-",4096,134055732271607885,49,8,55,4222124650672877,1762157979678975800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.6789858Z","2025-11-03 08:19:39.6789858Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619296190464,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"RW-",134055732271607885,5824,49,8,55,4222124650672877,"R-X",4096,134055732271607885,49,8,55,4222124650672877,1762157979678985800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.6854278Z","2025-11-03 08:19:39.6854278Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619295404032,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"R-X",134055732271607885,5824,49,8,55,4222124650672877,"RW-",4096,134055732271607885,49,8,55,4222124650672877,1762157979685427800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.6854386Z","2025-11-03 08:19:39.6854386Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619295404032,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"RW-",134055732271607885,5824,49,8,55,4222124650672877,"R-X",4096,134055732271607885,49,8,55,4222124650672877,1762157979685438600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.7865928Z","2025-11-03 08:19:39.7865928Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619269451776,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,,134055732271607885,5824,49,8,55,4222124650672877,"RWX",315392,134055732271607885,49,8,55,4222124650672877,1762157979786592800,12288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.7866524Z","2025-11-03 08:19:39.7866524Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619269451776,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"RWX",134055732271607885,5824,49,8,55,4222124650672877,"RW-",4096,134055732271607885,49,8,55,4222124650672877,1762157979786652400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.7866581Z","2025-11-03 08:19:39.7866581Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619269451776,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"RW-",134055732271607885,5824,49,8,55,4222124650672877,"R-X",4096,134055732271607885,49,8,55,4222124650672877,1762157979786658100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.7881685Z","2025-11-03 08:19:39.7881685Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6488 powershell.exe",4724,,," 1412 conhost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979788168500,,18446603390464790528,18446603390464761856,140702456608608,0,183750447104,5072,183749705728,183749697536,140702456608608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.7939044Z","2025-11-03 08:19:39.7939044Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1412 conhost.exe",5072,,," 1412 conhost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979793904400,,18446603390464856064,18446603390464827392,140716128325904,0,183750455296,3804,183750230016,183750221824,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.7971885Z","2025-11-03 08:19:39.7971885Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1412 conhost.exe",3804,,," 1412 conhost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979797188500,,18446603390464888832,18446603390464860160,140716128325904,0,183750463488,3368,183752982528,183752974336,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
