timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,desiredaccess,linksourcename,linktargetname,returncode,classification,eventtype,fileid,fileusn,info,scansource,creationtime,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,featureid,data,startstop,threadtime,deltacpu,deltawall,startqpc,id,process,reason,channel,eventid,cycletime
"2025-11-02 13:07:08.543185000Z","2025-11-02 13:07:08.5431878Z","myETW","EDRi-Provider",4242,"EDRi-Event","13412 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1762088828543187900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:14.9142455Z","2025-11-02 13:07:14.9142455Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info ","    4 System",15280,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762088834914245500,128,83886112,18446605548976792400,18446605548743766264,15280,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:14.9142793Z","2025-11-02 13:07:14.9142793Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",15280,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762088834914279300,,,,,,,18446704557195706752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:19.6715904Z","2025-11-02 13:07:19.6715904Z","ETW","Microsoft-Windows-Kernel-Network",12,"KERNEL_NETWORK_TASK_TCPIP Connection attempted. ","    4 System",700,,"11472 EDRSandblast.exe",,,,,,,,,,,,,,1762088839671590400,,,,,,,,0,3687141324,47873,1460,65535,0,0,251789322,0,0,0,46791,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:24.1970175Z","2025-11-02 13:07:24.1970175Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",3,"NtCreateSymbolicLinkObject","    4 System",12760,,,,,,,,,,,,,,,,1762088844197017600,,,,,,,,,,,,,,,,,,,,,,983041,"\DosDevices\GIO","\Device\GIO",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:41.585838500Z","2025-11-02 13:07:41.5858624Z","myETW","EDRi-Provider",4242,"EDRi-Event","13412 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,1762088861585862500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:41.592664300Z","2025-11-02 13:07:41.5926673Z","myETW","EDRi-Provider",4242,"EDRi-Event","13412 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,1762088861592667300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:41.6148734Z","2025-11-02 13:07:41.6148734Z","ETW","Microsoft-Antimalware-Engine",3,"Message  Info "," 5912 MsMpEng.exe",5172,,,,,"subtype=Lowfi, sigseq=0x00000555D4FB9C24, sigsha=68b7f163c37677d744a8a0d9772ac4a9d45a20b1, signame=#Lowfi:Lua:WrittenToDownloadFolderByOtherParentProcess, cached=true, source=5, resourceid=0x8e533837, resource='C:\Users\Public\Downloads\attack-762.exe'",,,,,,,,,,,1762088861614873400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:42.599658200Z","2025-11-02 13:07:42.5996626Z","myETW","EDRi-Provider",4242,"EDRi-Event","13412 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,1762088862599662600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 13:07:43.7539593Z","2025-11-02 13:07:43.7539593Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 5912 MsMpEng.exe",5172,,,,,,"C:\Users\Public\Downloads\attack-762.exe",,"0x8002",,,,,,,,1762088863753959400,,,,,,,,,,,,,,,,,,,,,,,,,,1,56,118834,3522166104,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
