timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"2025-10-27 11:46:17.706294500Z","2025-10-27 11:46:17.7063033Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 6224 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:18.711710900Z","2025-10-27 11:46:18.7117236Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 6224 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:19.7341541Z","2025-10-27 11:46:19.7341541Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6224 EDRi.exe",13256,,," 3616 MsMpEng.exe",,,,,,,,,,,,18446672673163542528,18446672673163517952,2049188302544,0,346647306240,6444,346653458432,346653392896,2049188302544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:19.7368194Z","2025-10-27 11:46:19.7368194Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3616 MsMpEng.exe",6444,,," 3616 MsMpEng.exe",,,,,,,,,,,,18446672673163571200,18446672673163546624,2049188642128,0,346647314432,12444,346653982720,346653917184,2049188642128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:19.7369780Z","2025-10-27 11:46:19.7369780Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3616 MsMpEng.exe",6444,,," 3616 MsMpEng.exe",,,,,,,,,,,,18446672673163542528,18446672673163517952,2049188302544,0,346647306240,6444,346653458432,346653392896,2049188302544,3197700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:19.9282170Z","2025-10-27 11:46:19.9282170Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3616 MsMpEng.exe",12444,,," 3616 MsMpEng.exe",,,,,,,,,,,,18446672673163571200,18446672673163546624,2049188642128,0,346647314432,12444,346653982720,346653917184,2049188642128,681450960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:21.768510600Z","2025-10-27 11:46:21.7685155Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 6224 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:21.771279800Z","2025-10-27 11:46:21.7712831Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 6224 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:22.784616700Z","2025-10-27 11:46:22.7846218Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 6224 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:23.9870573Z","2025-10-27 11:46:23.9870573Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6224 EDRi.exe",2696,,,"12668 attack-874.exe",,,,,,,,,,,,18446672673165463552,18446672673165438976,140702128752384,0,207770165248,4828,207772188672,207772184576,140702128752384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0131420Z","2025-10-27 11:46:24.0131420Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Users\Public\Downloads\attack-874.exe",,,,,,,,,,,,,,,,,,,140702128734208,140702128734208,0,57344,1761550891,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0131852Z","2025-10-27 11:46:24.0131852Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,,,,,,,,,,140737173913600,140737173913600,2538757,2523136,592187216,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.013873200Z","2025-10-27 11:46:24.0138752Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 6224 EDRi.exe",,,,,,"After starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0147257Z","2025-10-27 11:46:24.0147257Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\kernel32.dll",,,,,,,,,,,,,,,,,,,140737159757824,140737159757824,844151,823296,1746094868,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.014740200Z","2025-10-27 11:46:24.0147419Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,," 3616 MsMpEng.exe",,"NtOpenFile C:\Users\Public\Downloads\attack-874.exe with 0x100080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0149136Z","2025-10-27 11:46:24.0149136Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\KernelBase.dll",,,,,,,,,,,,,,,,,,,140737125220352,140737125220352,4201576,4136960,1981517683,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.017781400Z","2025-10-27 11:46:24.0177826Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtOpenProcess with 0x1410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.017790800Z","2025-10-27 11:46:24.0177913Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 8 bytes at 0x0000003060111010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.017795600Z","2025-10-27 11:46:24.0177961Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 8 bytes at 0x0000003060111018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.017798300Z","2025-10-27 11:46:24.0177986Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 8 bytes at 0x00007fffed5f2920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.017800700Z","2025-10-27 11:46:24.0178010Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 136 bytes at 0x000001840d353710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.017809800Z","2025-10-27 11:46:24.0178103Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.020732100Z","2025-10-27 11:46:24.0207345Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtOpenProcess with 0x1410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.020755500Z","2025-10-27 11:46:24.0207566Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0812152Z","2025-10-27 11:46:24.0812152Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\apphelp.dll",,,,,,,,,,,,,,,,,,,140737076527104,140737076527104,685021,651264,306558241,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0884056Z","2025-10-27 11:46:24.0884056Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\advapi32.dll",,,,,,,,,,,,,,,,,,,140737156415488,140737156415488,806569,737280,3871129049,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0885625Z","2025-10-27 11:46:24.0885625Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\msvcrt.dll",,,,,,,,,,,,,,,,,,,140737152090112,140737152090112,758106,692224,3198461912,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0887687Z","2025-10-27 11:46:24.0887687Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,,,,,,,,,,18446672673165406208,18446672673165381632,140737174395840,0,207770173440,14016,207773237248,207773233152,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0888679Z","2025-10-27 11:46:24.0888679Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\sechost.dll",,,,,,,,,,,,,,,,,,,140737138589696,140737138589696,731199,679936,117823328,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0890768Z","2025-10-27 11:46:24.0890768Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,,,,,,,,,,18446672673166667776,18446672673166643200,140737174395840,0,207770181632,2348,207774285824,207774281728,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0891992Z","2025-10-27 11:46:24.0891992Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\rpcrt4.dll",,,,,,,,,,,,,,,,,,,140737167687680,140737167687680,1185784,1146880,3598429018,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0895640Z","2025-10-27 11:46:24.0895640Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\ucrtbase.dll",,,,,,,,,,,,,,,,,,,140737133740032,140737133740032,1399211,1355776,1508749768,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0899459Z","2025-10-27 11:46:24.0899459Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","12668 attack-874.exe",14016,,,"12668 attack-874.exe",,,,,,,,,,,,18446672673166811136,18446672673166786560,140737174395840,0,207770189824,11732,207775334400,207775330304,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0909343Z","2025-10-27 11:46:24.0909343Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",4828,,,"12668 attack-874.exe",,,"C:\Windows\System32\msvcp140.dll",,,,,,,,,,,,,,,,,,,140735587352576,140735587352576,570439,561152,1564323704,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0910700Z","2025-10-27 11:46:24.0910700Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",2348,,,"12668 attack-874.exe",,,"C:\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,,,,,,,,140735587942400,140735587942400,57827,49152,240324076,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.0910797Z","2025-10-27 11:46:24.0910797Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","12668 attack-874.exe",14016,,,"12668 attack-874.exe",,,"C:\Windows\System32\vcruntime140.dll",,,,,,,,,,,,,,,,,,,140735588007936,140735588007936,146072,122880,254123393,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.096169200Z","2025-10-27 11:46:24.0961729Z","myETW","Attack-Provider",1337,"Attack-Provider","12668 attack-874.exe",,,,,,"Injector started with PID 12668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.489531000Z","2025-10-27 11:46:24.4895346Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtOpenProcess with 0x101000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.489609400Z","2025-10-27 11:46:24.4896107Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.4909182Z","2025-10-27 11:46:24.4909182Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3616 MsMpEng.exe",2132,,," 3616 MsMpEng.exe",,,,,,,,,,,,18446672673166495744,18446672673166471168,140737174395840,247,346647322624,2060,346653458432,346653392896,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.4909994Z","2025-10-27 11:46:24.4909994Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3616 MsMpEng.exe",2132,,," 3616 MsMpEng.exe",,,,,,,,,,,,18446672673166839808,18446672673166815232,140734535010880,247,346647330816,2352,346653982720,346653917184,140734535010880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.4911787Z","2025-10-27 11:46:24.4911787Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3616 MsMpEng.exe",2060,,," 3616 MsMpEng.exe",,,,,,,,,,,,18446672673166897152,18446672673166872576,140737174395840,0,346647339008,1324,346656079872,346656014336,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.492749300Z","2025-10-27 11:46:24.4927507Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtOpenProcess with 0x418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.492771800Z","2025-10-27 11:46:24.4927727Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 8 bytes at 0x0000003060111018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.492776800Z","2025-10-27 11:46:24.4927770Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 8 bytes at 0x00007fffed5f2920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.492779300Z","2025-10-27 11:46:24.4927795Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 312 bytes at 0x000001840d353710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 11:46:24.492781900Z","2025-10-27 11:46:24.4927822Z","myETW","Hook-Provider",7007,"EDRHookTask"," 3616 MsMpEng.exe",,,,"12668 attack-874.exe",,"NtReadVirtualMemory 312 bytes at 0x000001840d3534e0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
