timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"2025-10-27 19:04:46.7734942Z","2025-10-27 19:04:46.7734942Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6220 SearchHost.exe",824,,," 6220 SearchHost.exe",,,,,,,,,,,,135280,18446604502434664448,18446604502434639872,140721233419200,0,549488451584,824,549492621312,549492617216,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:47.0331863Z","2025-10-27 19:04:47.0331863Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6432 RuntimeBroker.exe",6512,,," 6432 RuntimeBroker.exe",,,,,,,,,,,,21896740,18446604502407688192,18446604502407663616,140721233419200,0,715303636992,6512,715306565632,715306516480,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:47.0331901Z","2025-10-27 19:04:47.0331901Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6432 RuntimeBroker.exe",1400,,," 6432 RuntimeBroker.exe",,,,,,,,,,,,679060,18446604502435414016,18446604502435389440,140721233419200,0,715303784448,1400,715311284224,715311235072,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:47.320972900Z","2025-10-27 19:04:47.5247476Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8940 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:47.6803915Z","2025-10-27 19:04:47.6803915Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5160 VBoxTray.exe",8216,,," 5160 VBoxTray.exe",,,,,,,,,,,,,18446604502435414016,18446604502435389440,140698913254320,0,312156155904,2904,312160026624,312160022528,140698913254320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:47.6806457Z","2025-10-27 19:04:47.6806457Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5160 VBoxTray.exe",2904,,," 5160 VBoxTray.exe",,,,,,,,,,,,474620,18446604502435414016,18446604502435389440,140698913254320,0,312156155904,2904,312160026624,312160018432,140698913254320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5228001Z","2025-10-27 19:04:48.5228001Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",7496,,," 8956 <not found>",,,,,,,,,,,,6303060,18446604502424928256,18446604502424903680,140721211230896,0,178120032256,7496,178128945152,178128912384,140721211230896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5241103Z","2025-10-27 19:04:48.5241103Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 8956 <not found>",7528,,," 8956 <not found>",,,"C:\Windows\System32\domgmt.dll",,,,,,,,,,,,,,,,,,,140720902897664,140720902897664,123337,135168,1383014597,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5242127Z","2025-10-27 19:04:48.5242127Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 8956 <not found>",7528,,," 8956 <not found>",,,"C:\Windows\System32\OneCoreCommonProxyStub.dll",,,,,,,,,,,,,,,,,,,140720911941632,140720911941632,869640,831488,1150807761,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5242677Z","2025-10-27 19:04:48.5242677Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",7528,,," 8956 <not found>",,,,,,,,,,,,48918920,18446604502424526848,18446604502424502272,140698238849792,0,178119974912,7528,178119049216,178119016448,140698238849792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5242680Z","2025-10-27 19:04:48.5242680Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",8932,,," 8956 <not found>",,,,,,,,,,,,13233120,18446604502424899584,18446604502424875008,140721233419200,0,178120024064,8932,178127896576,178127863808,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5242686Z","2025-10-27 19:04:48.5242686Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",7432,,," 8956 <not found>",,,,,,,,,,,,129960,18446604502424727552,18446604502424702976,140721211230896,0,178120007680,7432,178125799424,178125766656,140721211230896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5242687Z","2025-10-27 19:04:48.5242687Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",3100,,," 8956 <not found>",,,,,,,,,,,,3990760,18446604502424784896,18446604502424760320,140721233419200,0,178120015872,3100,178126848000,178126815232,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5242805Z","2025-10-27 19:04:48.5242805Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",8712,,," 8956 <not found>",,,,,,,,,,,,612560,18446604502424641536,18446604502424616960,140721233419200,0,178119991296,8712,178123702272,178123669504,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5243016Z","2025-10-27 19:04:48.5243016Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",3028,,," 8956 <not found>",,,,,,,,,,,,150480,18446604502424670208,18446604502424645632,140721233419200,0,178119999488,3028,178124750848,178124718080,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5243290Z","2025-10-27 19:04:48.5243290Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",3488,,," 8956 <not found>",,,,,,,,,,,,405460,18446604502424956928,18446604502424932352,140721233419200,0,178120048640,3488,178129993728,178129960960,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5243455Z","2025-10-27 19:04:48.5243455Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8956 <not found>",7940,,," 8956 <not found>",,,,,,,,,,,,3304100,18446604502424555520,18446604502424530944,140721233419200,0,178119983104,7940,178122653696,178122620928,140721233419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 19:04:48.5247300Z","2025-10-27 19:04:48.5247300Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 8956 <not found>",7940,,," 8956 <not found>",,,"C:\Windows\System32\dllhost.exe",,,,,,,,,,,,,,,,,,,140698238844928,140698238844928,107673,40960,2966486842,,,,,,,,,,,,,,,,,,,,,,,,
