timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-18 11:10:49.2213720Z","2025-11-18 11:10:49.2213720Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5196 svchost.exe",2540,,," 5196 svchost.exe",,,,,,,,,,,,,744217,18446735872176463872,18446735872176439296,140713571605440,0,678418337792,2540,1763464249221372000,678421331968,678421299200,140713571605440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:50.041213100Z","2025-11-18 11:10:50.0496848Z","myETW","EDRi-Provider",4242,"EDRiTask"," 1296 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,1763464250049684800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:50.0498055Z","2025-11-18 11:10:50.0498055Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","10428 ServiceHub.IntellicodeModelService.exe",10712,,,"10428 ServiceHub.IntellicodeModelService.exe",,,,,,,,,,,,,,18446735872176463872,18446735872176439296,140712303849120,0,757791391744,6156,1763464250049805500,757790408704,757790392320,140712303849120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:50.2253790Z","2025-11-18 11:10:50.2253790Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",72,,," 5196 svchost.exe",,,,,,,,,,,,,,18446735872230350848,18446735872230326272,140713571605440,0,678418362368,10640,1763464250225379000,678421331968,678421299200,140713571605440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:51.038658200Z","2025-11-18 11:10:51.0572057Z","myETW","EDRi-Provider",4242,"EDRiTask"," 1296 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector-deconditioning_calc.exe.enc",,,,,,,,,,,,,,,,,,1763464251057205700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:51.040119200Z","2025-11-18 11:10:51.0586811Z","myETW","EDRi-Provider",4242,"EDRiTask"," 1296 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,1763464251058681100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:51.1092782Z","2025-11-18 11:10:51.1092782Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7988 MsMpEng.exe",3948,,," 7988 MsMpEng.exe",,,"C:\Windows\System32\policymanager.dll",,,,,,,,,,,,,,,,,1763464251109278200,,,,140713467772928,140713467772928,769657,741376,423353507,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:51.1099510Z","2025-11-18 11:10:51.1099510Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7988 MsMpEng.exe",3948,,," 7988 MsMpEng.exe",,,"C:\Windows\System32\policymanager.dll",,,,,,,,,,,,,,,,,1763464251109951000,,,,140713467772928,140713467772928,769657,753664,423353507,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:51.1130386Z","2025-11-18 11:10:51.1130386Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7988 MsMpEng.exe",4116,,," 7988 MsMpEng.exe",,,"C:\Windows\System32\webio.dll",,,,,,,,,,,,,,,,,1763464251113038600,,,,140713351905280,140713351905280,873482,827392,338769958,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-18 11:10:51.1137366Z","2025-11-18 11:10:51.1137366Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7988 MsMpEng.exe",4116,,," 7988 MsMpEng.exe",,,"C:\Windows\System32\mswsock.dll",,,,,,,,,,,,,,,,,1763464251113736600,,,,140713508732928,140713508732928,491870,438272,897307513,,,,,,,,,,,,,,,,,,,,,,,,
